"","GEOID","puma"
"1","080130132102","00802"
"2","080130133061","00802"
"3","080130129071","00804"
"4","080130129072","00804"
"5","080130132113","00802"
"6","080130132111","00802"
"7","080130130051","00804"
"8","080130135033","00802"
"9","080130135032","00802"
"10","080130135034","00802"
"11","080130130052","00804"
"12","080130130032","00803"
"13","080130130061","00804"
"14","080130130031","00803"
"15","080130125093","00803"
"16","080130125092","00803"
"17","080130130063","00804"
"18","080130133022","00802"
"19","080130133021","00802"
"20","080130133024","00802"
"21","080130125012","00803"
"22","080130125011","00803"
"23","080130132022","00802"
"24","080130132021","00802"
"25","080130132103","00802"
"26","080130133082","00802"
"27","080130134012","00802"
"28","080130134011","00802"
"29","080130134022","00802"
"30","080130134021","00802"
"31","080130121011","00803"
"32","080130121013","00803"
"33","080130121012","00803"
"34","080130127101","00803"
"35","080130127103","00803"
"36","080130121022","00803"
"37","080130121023","00803"
"38","080130121024","00803"
"39","080130121025","00803"
"40","080130125052","00803"
"41","080130125053","00803"
"42","080130132072","00802"
"43","080130132071","00802"
"44","080130129041","00804"
"45","080130125083","00803"
"46","080130132051","00802"
"47","080130132052","00802"
"48","080130121031","00803"
"49","080130121032","00803"
"50","080130122011","00803"
"51","080130122012","00803"
"52","080130122033","00803"
"53","080130122034","00803"
"54","080130122042","00803"
"55","080130126072","00803"
"56","080130122043","00803"
"57","080130125081","00803"
"58","080130125082","00803"
"59","080130126073","00803"
"60","080130126081","00803"
"61","080130127053","00803"
"62","080130128005","00802"
"63","080130132121","00802"
"64","080130132123","00802"
"65","080130132131","00802"
"66","080130127072","00803"
"67","080130127071","00803"
"68","080130127091","00802"
"69","080130130041","00804"
"70","080130130042","00804"
"71","080130137025","00801"
"72","080130137026","00801"
"73","080130137021","00801"
"74","080130137023","00801"
"75","080130137027","00801"
"76","080130137022","00801"
"77","080130137024","00801"
"78","080130133052","00802"
"79","080130133051","00802"
"80","080130127083","00803"
"81","080130127081","00803"
"82","080130126052","00803"
"83","080130126051","00803"
"84","080130132133","00802"
"85","080130133053","00802"
"86","080130133071","00802"
"87","080130133072","00802"
"88","080130133081","00802"
"89","080130134024","00802"
"90","080130134025","00802"
"91","080130135031","00802"
"92","080130135061","00802"
"93","080130135051","00802"
"94","080130135052","00802"
"95","080130135053","00802"
"96","080130135071","00802"
"97","080130135072","00802"
"98","080130135082","00802"
"99","080130135083","00802"
"100","080130606002","00804"
"101","080130606003","00804"
"102","080130607002","00804"
"103","080130607003","00804"
"104","080130608002","00804"
"105","080130608003","00804"
"106","080130136013","00801"
"107","080130136022","00801"
"108","080130121041","00803"
"109","080130121051","00803"
"110","080130121053","00803"
"111","080130121052","00803"
"112","080130126032","00803"
"113","080130608005","00804"
"114","080130609001","00804"
"115","080130613001","00804"
"116","080130613002","00804"
"117","080130127014","00803"
"118","080130127011","00803"
"119","080130127013","00803"
"120","080130127012","00803"
"121","080130128001","00802"
"122","080130125111","00803"
"123","080130125112","00803"
"124","080130128002","00802"
"125","080130129051","00804"
"126","080130122022","00803"
"127","080130122023","00803"
"128","080130122021","00803"
"129","080130123001","00803"
"130","080130124013","00803"
"131","080130124014","00803"
"132","080130122031","00803"
"133","080130122032","00803"
"134","080130125071","00803"
"135","080130125073","00803"
"136","080130127052","00803"
"137","080130132081","00802"
"138","080130132083","00802"
"139","080130137011","00801"
"140","080130137012","00801"
"141","080130137013","00801"
"142","080130125103","00801"
"143","080130125101","00801"
"144","080130130034","00803"
"145","080130130033","00803"
"146","080130133083","00802"
"147","080130134013","00802"
"148","080130134023","00802"
"149","080130121014","00803"
"150","080130127102","00803"
"151","080130132101","00802"
"152","080130133062","00802"
"153","080130132011","00802"
"154","080130132112","00802"
"155","080130125091","00803"
"156","080130130062","00804"
"157","080130133025","00802"
"158","080130133023","00802"
"159","080130135081","00802"
"160","080130606001","00804"
"161","080130607001","00804"
"162","080130608001","00804"
"163","080130136012","00801"
"164","080130136021","00801"
"165","080130121042","00803"
"166","080130121054","00803"
"167","080130126031","00803"
"168","080130614001","00804"
"169","080130608004","00804"
"170","080130609002","00804"
"171","080130125113","00803"
"172","080130128003","00802"
"173","080130129052","00804"
"174","080130122024","00803"
"175","080130124012","00803"
"176","080130124011","00803"
"177","080130125072","00803"
"178","080130121021","00803"
"179","080130125051","00803"
"180","080130129042","00804"
"181","080130129031","00804"
"182","080130132053","00802"
"183","080130121033","00803"
"184","080130122013","00803"
"185","080130122041","00803"
"186","080130123002","00803"
"187","080130126071","00803"
"188","080130126074","00803"
"189","080130128004","00802"
"190","080130132122","00802"
"191","080130132132","00802"
"192","080130127082","00803"
"193","080130127084","00803"
"194","080130132073","00802"
"195","080130127051","00803"
"196","080130132082","00802"
"197","080130137014","00801"
"198","080130125102","00801"
"199","080130125104","00801"
"200","080130136011","00801"
